HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2025-02-28 23:00:00;2025-03-01 00:00:00;DK2;956,154038;128,199997
2025-03-01 00:00:00;2025-03-01 01:00:00;DK2;897,830132;120,379997
2025-03-01 01:00:00;2025-03-01 02:00:00;DK2;873,292317;117,089996
2025-03-01 02:00:00;2025-03-01 03:00:00;DK2;836,448360;112,150002
2025-03-01 03:00:00;2025-03-01 04:00:00;DK2;818,548425;109,750000
2025-03-01 04:00:00;2025-03-01 05:00:00;DK2;834,509180;111,889999
2025-03-01 05:00:00;2025-03-01 06:00:00;DK2;873,441520;117,110001
2025-03-01 06:00:00;2025-03-01 07:00:00;DK2;1012,911708;135,809998
2025-03-01 07:00:00;2025-03-01 08:00:00;DK2;1035,361258;138,820007
2025-03-01 08:00:00;2025-03-01 09:00:00;DK2;1027,530021;137,770004
2025-03-01 09:00:00;2025-03-01 10:00:00;DK2;932,884179;125,080002
2025-03-01 10:00:00;2025-03-01 11:00:00;DK2;836,075415;112,099998
2025-03-01 11:00:00;2025-03-01 12:00:00;DK2;762,312836;102,209999
2025-03-01 12:00:00;2025-03-01 13:00:00;DK2;725,468819;97,269997
2025-03-01 13:00:00;2025-03-01 14:00:00;DK2;741,280430;99,389999
2025-03-01 14:00:00;2025-03-01 15:00:00;DK2;729,421762;97,800003
2025-03-01 15:00:00;2025-03-01 16:00:00;DK2;935,345433;125,410004
2025-03-01 16:00:00;2025-03-01 17:00:00;DK2;1081,453500;145,000000
2025-03-01 17:00:00;2025-03-01 18:00:00;DK2;1182,513487;158,550003
2025-03-01 18:00:00;2025-03-01 19:00:00;DK2;1124,562467;150,779999
2025-03-01 19:00:00;2025-03-01 20:00:00;DK2;995,011833;133,410004
2025-03-01 20:00:00;2025-03-01 21:00:00;DK2;935,419971;125,419998
2025-03-01 21:00:00;2025-03-01 22:00:00;DK2;910,136342;122,029999
2025-03-01 22:00:00;2025-03-01 23:00:00;DK2;894,399321;119,919998
2025-03-01 23:00:00;2025-03-02 00:00:00;DK2;765,296170;102,610001
2025-03-02 00:00:00;2025-03-02 01:00:00;DK2;431,537245;57,860001
2025-03-02 01:00:00;2025-03-02 02:00:00;DK2;225,389819;30,219999
2025-03-02 02:00:00;2025-03-02 03:00:00;DK2;159,383878;21,370001
2025-03-02 03:00:00;2025-03-02 04:00:00;DK2;142,155191;19,059999
2025-03-02 04:00:00;2025-03-02 05:00:00;DK2;142,080608;19,049999
2025-03-02 05:00:00;2025-03-02 06:00:00;DK2;324,883555;43,560001
2025-03-02 06:00:00;2025-03-02 07:00:00;DK2;676,393242;90,690002
2025-03-02 07:00:00;2025-03-02 08:00:00;DK2;769,025320;103,110001
2025-03-02 08:00:00;2025-03-02 09:00:00;DK2;663,788700;89,000000
2025-03-02 09:00:00;2025-03-02 10:00:00;DK2;251,419286;33,709999
2025-03-02 10:00:00;2025-03-02 11:00:00;DK2;83,682126;11,220000
2025-03-02 11:00:00;2025-03-02 12:00:00;DK2;55,191420;7,400000
2025-03-02 12:00:00;2025-03-02 13:00:00;DK2;23,419062;3,140000
2025-03-02 13:00:00;2025-03-02 14:00:00;DK2;21,256155;2,850000
2025-03-02 14:00:00;2025-03-02 15:00:00;DK2;141,707700;19,000000
2025-03-02 15:00:00;2025-03-02 16:00:00;DK2;403,941528;54,160000
2025-03-02 16:00:00;2025-03-02 17:00:00;DK2;743,517942;99,690002
